Algoritmo,Tipo de Dados,Tamanho,Tempo (ms)
Bubble Sort,Aleatório,100,0.207720
Insertion Sort,Aleatório,100,0.065760
Quick Sort,Aleatório,100,0.034281
Bubble Sort,Aleatório,1000,3.988979
Insertion Sort,Aleatório,1000,1.855544
Quick Sort,Aleatório,1000,0.075430
Bubble Sort,Aleatório,10000,28.169652
Insertion Sort,Aleatório,10000,17.940510
Quick Sort,Aleatório,10000,0.479981
Bubble Sort,Crescente,100,0.000500
Insertion Sort,Crescente,100,0.001410
Quick Sort,Crescente,100,0.008700
Bubble Sort,Crescente,1000,0.001160
Insertion Sort,Crescente,1000,0.001590
Quick Sort,Crescente,1000,0.599682
Bubble Sort,Crescente,10000,0.003190
Insertion Sort,Crescente,10000,0.007160
Quick Sort,Crescente,10000,61.567125
Bubble Sort,Decrescente,100,0.022180
Insertion Sort,Decrescente,100,0.003170
Quick Sort,Decrescente,100,0.004130
Bubble Sort,Decrescente,1000,2.546225
Insertion Sort,Decrescente,1000,0.094500
Quick Sort,Decrescente,1000,0.366360
Bubble Sort,Decrescente,10000,43.963817
Insertion Sort,Decrescente,10000,8.686729
Quick Sort,Decrescente,10000,33.760854
